Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2,Gene names
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ns1
NaN,NaN,NaN,NaN,1.224,0.5233,NaN,NaN,NaN,NaN,0.60442,0.40786,NaN,NaN,NaN,NaN,
0.51927,0.56534,NaN,NaN,0.41571,NaN,NaN,NaN,NaN,NaN,0.25762,0.24912,NaN,NaN,NaN,NaN,GalNAc-T2
0.38725,0.40972,NaN,2.3022,0.45759,0.37625,NaN,1.8543,NaN,NaN,0.40526,0.30208,NaN,NaN,NaN,NaN,Obp83g
0.50778,0.28423,NaN,0.60699,0.3194,0.4154,0.56983,0.74852,NaN,NaN,0.43096,0.39604,0.58827,NaN,0.73635,0.7736,Atx2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.60051,NaN,NaN,0.64913,NaN,NaN,NaN,0.66011,0.44221,NaN,0.79709,0.74992,NaN,NaN,NaN,NaN,EG:171D11.2
NaN,NaN,1.9829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.39,NaN,NaN,0.78228,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Art8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,1.0341,2.2389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.332,1.4934,0.96559,1.3068,Pis
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,kuk
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,0.48584,NaN,NaN,NaN,NaN,NaN,0.52921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TBPH
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,0.41276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GV1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ance-3
0.2557,0.38189,NaN,0.47901,NaN,NaN,NaN,0.77965,NaN,NaN,0.39042,0.39316,NaN,NaN,NaN,NaN,gw
0.31968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG43154
1.4439,0.69825,NaN,0.90145,NaN,1.1067,0.44963,0.45358,NaN,NaN,NaN,1.2625,NaN,0.44333,1.081,1.374,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.55065,NaN,NaN,NaN,0.83137,0.68028,NaN,NaN,NaN,NaN,0.28762,0.35909,NaN,NaN,NaN,0.43181,
NaN,1.1717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9252,NaN,NaN,0.68591,CG17159
0.47747,NaN,NaN,NaN,0.34451,NaN,0.48135,NaN,NaN,NaN,NaN,0.45548,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,l(2)09851
0.37063,0.29988,0.42765,0.48434,0.3079,0.24033,0.44001,NaN,NaN,NaN,0.23532,0.33764,NaN,NaN,NaN,NaN,mRpS5
NaN,NaN,1.4557,0.82868,NaN,NaN,NaN,1.3784,NaN,NaN,NaN,0.75298,NaN,NaN,1.1811,NaN,
0.25413,NaN,NaN,NaN,NaN,NaN,0.4469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG17683
NaN,NaN,NaN,NaN,0.82172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0024,
NaN,0.41566,NaN,0.54066,0.43416,NaN,NaN,NaN,NaN,NaN,0.44394,0.39491,NaN,NaN,NaN,0.61562,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spn43Ad
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG7117
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Golgin84
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Dim1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.38352,0.44489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NT5E-2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32572,NaN,NaN,NaN,1.3176,rumi
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG14722
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Tsp
0.71553,0.98917,NaN,0.32926,NaN,0.58884,NaN,1.0655,0.28295,NaN,0.53431,1.223,1.2654,1.1981,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CenB1A
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.61182,0.44418,NaN,NaN,0.73311,0.47447,Idgf5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,hpo
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BEST:CK00246
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,obst-E
0.76279,NaN,0.54529,1.403,0.75511,0.87351,NaN,NaN,NaN,NaN,NaN,NaN,0.46261,0.66483,NaN,NaN,beg
0.50155,0.5447,1.7131,1.264,0.71549,0.38852,NaN,1.7644,NaN,NaN,0.64407,0.55421,NaN,NaN,2.5893,1.8947,mRpL47
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,scpr-B;scpr-C;scpr-A
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,0.38059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ena
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,0.83304,NaN,NaN,0.73345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BEST:CK02213
0.83089,0.72378,1.2902,1.132,0.70534,0.92451,1.076,1.0152,NaN,NaN,0.82917,0.65075,1.2502,1.5125,1.0745,1.0111,boca
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,fdl
0.2801,NaN,0.42183,0.91681,0.2971,0.59617,NaN,NaN,NaN,NaN,0.3568,1.0909,0.72096,NaN,NaN,NaN,bonsai
0.48104,NaN,NaN,NaN,NaN,0.4446,0.5214,NaN,NaN,NaN,0.61482,NaN,NaN,0.53808,0.54699,NaN,BEAF-32
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,mtacp1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rel
0.63675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S6k
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,U2af38
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rga
0.46094,0.75289,0.88854,NaN,1.5379,NaN,0.59577,1.2661,NaN,NaN,0.40487,0.80072,0.87387,0.66268,NaN,NaN,Dref
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nrx-IV
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,jeb
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,mats
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG11412
NaN,NaN,NaN,NaN,0.82133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Tom20
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Git
NaN,NaN,NaN,NaN,0.76538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
1.1024,0.44025,NaN,NaN,0.35347,NaN,0.4819,0.45208,NaN,NaN,0.49961,0.43279,0.65035,0.38066,NaN,0.35858,CG10038
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,pita
0.33627,NaN,0.36929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38057,0.35841,0.34835,0.42933,0.30545,NaN,
0.33557,0.47042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37825,0.47629,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Pask
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.93115,NaN,NaN,NaN,
1.5138,1.17,1.6269,1.6923,1.1698,1.0992,1.1332,1.5922,NaN,NaN,0.95312,1.1072,1.7531,2.0946,1.7444,1.6133,CG30291
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG11955
1.2896,1.2976,1.8091,1.7319,NaN,0.99088,1.8842,1.8538,NaN,NaN,NaN,1.0049,2.3182,2.1109,NaN,3.6645,CG7506
NaN,NaN,NaN,1.1784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,fwe
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Slimp
NaN,NaN,0.46645,2.0873,0.44246,NaN,NaN,0.55463,NaN,NaN,NaN,NaN,NaN,0.40017,NaN,NaN,CG9798
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG4953
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45534,1.202,NaN,NaN,NaN,NaN,
NaN,NaN,0.22999,NaN,1.2972,NaN,NaN,NaN,NaN,NaN,0.47343,NaN,NaN,NaN,NaN,NaN,CG15187
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
4.8144,1.9846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mf
NaN,NaN,0.54754,NaN,NaN,NaN,0.49931,0.24065,NaN,NaN,NaN,NaN,1.3586,NaN,0.28372,0.2877,alpha-Est5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rpb7
0.22261,0.24825,NaN,NaN,0.30135,NaN,NaN,NaN,NaN,NaN,NaN,1.1833,NaN,NaN,NaN,NaN,Mms19
NaN,0.33287,0.23644,NaN,0.36101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5714,NaN,NaN,CG3209-RA
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Sap47
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cep135
0.33209,NaN,1.1431,NaN,0.40543,NaN,NaN,1.1914,NaN,NaN,0.56713,0.61803,NaN,0.87407,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CycK
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,lgs
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cog3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG11058
NaN,NaN,1.1177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0916,1.0988,NaN,NaN,BG:DS00941.11
NaN,NaN,NaN,NaN,0.20247,NaN,NaN,NaN,NaN,NaN,NaN,0.40678,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,0.48064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.35734,NaN,NaN,Rala
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Pax
NaN,NaN,NaN,NaN,0.46376,NaN,NaN,NaN,NaN,NaN,NaN,0.24253,NaN,NaN,NaN,NaN,zip
NaN,0.065589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ranbp16
NaN,NaN,NaN,0.7685,NaN,1.1953,1.0897,0.89265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,mbo
NaN,NaN,NaN,NaN,0.96731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG4733-RA
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Jupiter
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Jupiter
0.48133,0.45594,0.62299,0.80131,0.66226,0.36727,0.46162,0.62297,0.67893,NaN,0.5514,0.42896,NaN,0.72929,NaN,0.54919,
0.49444,1.21,NaN,0.76019,0.60519,0.54436,NaN,0.64397,0.63669,NaN,0.49587,0.40252,NaN,0.89212,NaN,0.71451,CG8223
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,mRpL36
0.17427,NaN,NaN,NaN,0.21771,NaN,NaN,NaN,NaN,NaN,0.53311,0.26387,NaN,NaN,NaN,NaN,CG11505
NaN,0.30029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,0.28284,NaN,NaN,0.32907,NaN,0.54789,0.40904,NaN,NaN,NaN,0.3215,NaN,NaN,0.50209,0.51243,chb
0.4846,0.44353,0.51214,0.58957,0.3696,NaN,NaN,0.48937,NaN,NaN,0.49853,NaN,0.37041,NaN,1.0062,1.1265,trc
0.41333,0.40265,NaN,0.47447,0.36031,NaN,0.59263,0.48471,NaN,NaN,0.63338,0.53808,NaN,0.56738,NaN,0.58264,SH3PX1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Tre1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ligatin
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GNBP3
0.70085,0.71982,1.2704,NaN,0.41594,NaN,NaN,NaN,1.6703,NaN,0.57288,0.60067,0.85936,1.5095,NaN,1.254,san
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Adar
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,spt4
NaN,NaN,NaN,NaN,0.37533,0.4459,NaN,NaN,NaN,NaN,NaN,NaN,2.9729,NaN,NaN,NaN,EG:140G11.5
NaN,NaN,NaN,NaN,1.1169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Surf1
0.58882,2.5294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24535,NaN,NaN,NaN,NaN,NaN,BcDNA.LD34475
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,tty
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Peb
NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0565,0.57657,NaN,0.58582,1.4773,NaN,1.65,NaN,0.88365,ECSIT
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.64843,NaN,NaN,NaN,Syt4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,csul
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,rdgBbeta
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78062,NaN,Vps28
0.81927,0.98953,0.77837,NaN,1.0179,0.71729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.88246,0.62864,0.794,krz
1.1038,0.75977,NaN,1.1834,0.84298,NaN,NaN,1.5829,NaN,NaN,0.90998,NaN,NaN,NaN,1.3476,1.2186,Catsup
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ero1L
NaN,NaN,NaN,NaN,0.93454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,c12.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG9063
0.39645,0.29174,NaN,0.74485,0.394,NaN,NaN,NaN,NaN,NaN,0.30335,NaN,NaN,NaN,NaN,NaN,mRpL4
NaN,NaN,NaN,NaN,0.51121,NaN,NaN,NaN,NaN,NaN,0.61271,0.58445,NaN,NaN,NaN,NaN,Coprox
0.17766,0.44399,0.20194,0.34503,0.29539,0.32285,0.41042,NaN,NaN,NaN,0.31518,0.25096,0.34797,0.36151,NaN,0.36474,Srp54k
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,spag
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cyp33
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nxt1
NaN,NaN,NaN,NaN,0.88783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nab2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.47963,0.48859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.54706,2.846,0.65209,0.5974,NaN,0.82367,wds
0.12969,0.21901,NaN,NaN,0.17606,NaN,NaN,NaN,NaN,NaN,0.44047,0.22436,NaN,NaN,NaN,NaN,BG:DS09217.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cbp20
NaN,NaN,NaN,NaN,0.38041,NaN,NaN,NaN,NaN,NaN,0.7738,0.70454,NaN,NaN,NaN,NaN,TM9SF4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,l(2)35Bc
0.31168,0.32238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Jafrac2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GABA-B-R1
NaN,NaN,0.13235,0.15709,NaN,NaN,0.26309,0.2651,NaN,NaN,NaN,NaN,0.23333,0.33542,NaN,NaN,Acp36DE
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,heix
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SC35
0.60474,0.58351,NaN,NaN,NaN,NaN,NaN,0.47258,0.51466,NaN,0.44334,NaN,0.46104,0.45443,NaN,NaN,dare
NaN,NaN,NaN,NaN,NaN,NaN,0.49313,0.2585,NaN,NaN,NaN,NaN,3.376,2.3336,0.23048,1.2623,CG4500
NaN,0.97217,2.3937,NaN,1.079,NaN,NaN,NaN,NaN,NaN,NaN,0.78127,2.2191,NaN,NaN,NaN,x16
NaN,NaN,NaN,NaN,0.45231,NaN,0.66262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BcDNA.LD23634
0.24749,0.21324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25792,0.25695,NaN,NaN,NaN,NaN,ck
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,crp
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG8801
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Smg5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Met75Ca
0.28283,0.082873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nup154
NaN,NaN,NaN,NaN,0.65413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nup107
0.17672,0.41759,0.39505,NaN,0.26622,0.26357,NaN,NaN,NaN,NaN,0.59599,0.71416,0.41253,0.42872,NaN,NaN,Cul-3
0.6735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cals
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG10323
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,yellow-h
0.4784,0.77429,0.66818,0.8595,0.39951,0.49445,0.58076,0.50542,0.6262,NaN,0.43777,0.46232,NaN,NaN,NaN,0.54286,Hcf
0.2938,0.27635,NaN,NaN,0.28344,0.53106,NaN,0.68712,0.24866,NaN,NaN,0.32789,NaN,NaN,NaN,NaN,Asator
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.26611,NaN,NaN,NaN,NaN,NaN,Cyp4e1
NaN,NaN,NaN,0.51644,NaN,NaN,NaN,0.38967,NaN,NaN,NaN,NaN,0.088533,0.30503,0.40704,0.29651,Cyp6a13
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cyp4p1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wun
0.5615,0.29899,1.0922,1.119,0.57646,1.4217,1.0056,0.43551,NaN,NaN,0.17716,0.26872,1.2482,NaN,NaN,1.1595,CG8858
NaN,NaN,NaN,NaN,NaN,NaN,0.60827,NaN,NaN,NaN,NaN,NaN,0.49745,0.68474,NaN,NaN,Taz
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fsn
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG13343
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,mRpS16
