Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2,Gene names
NaN,0.78567,0.54258,NaN,NaN,NaN,0.54265,NaN,0.49418,0.58992,NaN,NaN,0.88706,1.2219,NaN,0.66266,JhI-26
0.69593,1.6434,0.75059,0.7934,0.97648,0.79325,0.75611,1.3434,NaN,0.59434,0.77397,0.89947,0.73174,0.78807,1.0992,0.86488,EG:100G10.7
0.27098,0.4059,0.86059,0.59142,0.35685,0.59654,0.6572,0.81967,0.62109,0.59522,0.38735,0.33818,0.67205,0.69094,NaN,0.79691,Gtp-bp
0.41893,0.43048,0.60014,0.70964,0.49721,0.76157,0.68914,0.87545,NaN,0.6108,0.6626,0.5123,0.6909,0.73556,0.46174,0.76208,
NaN,1.2845,NaN,0.84023,NaN,NaN,0.71084,0.76641,0.46478,0.61246,NaN,NaN,NaN,0.67104,NaN,0.67919,CG13601
0.52962,0.59173,0.70187,NaN,0.45235,0.66362,0.7533,0.81393,NaN,0.61715,0.53197,0.47466,0.66037,0.92789,0.49888,0.7633,Bap55
0.33773,NaN,0.44616,NaN,NaN,NaN,0.40491,NaN,NaN,0.61946,NaN,NaN,NaN,NaN,0.36533,0.50802,wuho
0.70639,0.57625,0.76905,0.61463,0.5995,1.269,1.9047,0.94594,NaN,0.62168,0.55039,0.59474,0.73771,0.71436,0.80218,0.7044,bsk
0.58662,0.48823,0.88484,0.76859,0.93337,NaN,0.74304,0.68753,NaN,0.64092,0.53329,0.74448,NaN,NaN,0.70992,0.66255,Rap2l
0.5796,0.38954,0.48246,0.92183,0.41854,NaN,0.6916,1.0413,NaN,0.64325,0.38813,0.45042,0.33321,0.31816,0.98892,0.48766,CG10306
0.33791,0.3042,0.29243,0.28335,0.21358,0.75016,0.44455,0.51156,NaN,0.64667,0.30447,0.18629,0.50222,0.82106,0.93895,0.37131,Aats-gln
NaN,3.3746,1.1297,NaN,NaN,NaN,0.97846,NaN,NaN,0.65888,NaN,NaN,0.85677,NaN,NaN,0.42471,Dsk
1.6548,0.16149,0.50819,NaN,0.34495,0.88068,NaN,0.64897,NaN,0.66043,0.23563,0.29611,NaN,NaN,1.0087,0.31239,
0.25827,0.41315,0.41669,0.30045,0.47108,0.46471,NaN,0.63315,NaN,0.66615,0.25126,0.2984,NaN,0.45543,0.43683,0.36685,
0.53328,0.67486,0.67609,0.64236,0.66837,NaN,0.57077,0.71542,NaN,0.67077,0.69647,0.53298,0.47283,0.56576,0.54807,0.46318,Sodh-2
0.39519,0.45017,0.54616,0.52939,0.58701,0.37604,0.51123,NaN,NaN,0.68395,0.34207,0.34304,0.59581,0.69806,0.48281,0.55863,Pdcd4
0.83236,0.7596,NaN,NaN,0.84185,0.66045,0.91825,1.1273,0.66364,0.68631,1.8467,NaN,0.87027,NaN,NaN,0.70733,anon-35F/36A
0.87514,0.76784,0.84307,0.79224,NaN,0.9147,0.92513,NaN,NaN,0.6881,NaN,1.0211,NaN,0.72774,0.73426,0.68191,svr
0.91342,0.86165,1.0047,NaN,0.89673,NaN,0.6128,0.80619,0.72055,0.68842,NaN,0.56797,NaN,NaN,NaN,0.80019,CG16912
NaN,0.66114,NaN,0.72641,NaN,0.64901,NaN,0.94804,NaN,0.69319,0.71207,0.63558,0.73322,0.84811,NaN,0.92154,Mtl
0.6497,0.92751,0.93385,0.88948,0.70463,0.8863,0.91993,0.95941,NaN,0.70261,0.7763,0.74006,1.0945,1.0801,0.74277,0.79303,
NaN,1.2824,1.0116,1.2515,NaN,1.1291,1.0814,1.4344,NaN,0.70385,0.98652,0.95657,0.94414,0.92203,0.4553,1.1182,Idgf1
0.57649,0.43493,1.1554,0.65996,0.39734,0.4005,0.63922,0.61746,NaN,0.70889,0.62731,0.50314,0.70936,0.51473,0.5823,0.93991,twf
1.691,NaN,1.2206,0.96215,NaN,0.7267,0.83182,1.1427,NaN,0.71624,0.70932,0.65272,0.86196,0.83023,0.70649,1.1505,CkIIbeta
0.92396,0.79126,0.83136,0.92813,0.94433,0.70458,1.9237,NaN,0.63332,0.71715,0.57601,3.2315,0.64847,0.89254,NaN,1.642,
0.42109,0.38182,0.64536,NaN,0.41179,0.45394,0.64349,0.52547,NaN,0.71771,0.30128,0.46642,NaN,0.8392,0.70844,0.64054,RanBP3
0.70839,0.5752,1.2923,1.0313,0.7198,1.0437,1.0772,0.92936,NaN,0.72816,0.61913,0.54565,0.97731,1.0054,0.9576,0.7745,CadN
NaN,NaN,NaN,NaN,NaN,NaN,0.29784,0.3414,0.61691,0.74689,NaN,NaN,NaN,NaN,NaN,0.31201,
